Company ID,Companies,Exchange,Ticker,Description,Fiscal Period,Revenue,Gross Profit,EBITDA,Net Income,Enterprise Value,Primary Industry Sector,Ownership Status,Company Financing Status,Verticals,HQ Location,Last Financing Date,Last Financing Deal Type,Last Financing Size,PitchBook Link
10377-37,Tesla (NAS: TSLA),NAS,TSLA,"Founded in 2003 and based in Palo Alto, California, Tesla is a vertically integrated sustainable energy company that also aims to transition the world to electric mobility by making electric vehicles. The company sells solar panels and solar roofs for energy generation plus batteries for stationary storage for residential and commercial properties including utilities. Tesla has multiple vehicles in its fleet, which include luxury and midsize sedans and crossover SUVs. The company also plans to begin selling more affordable sedans and small SUVs, a light truck, a semi truck, and a sports car. Global deliveries in 2022 were a little over 1.3 million vehicles.",TTM 3Q2023,"95,924.00","18,999.00","15,427.00","10,783.00","777,984.90",Consumer Products and Services (B2C),Publicly Held,Formerly VC-backed,"Autonomous cars, CleanTech, Climate Tech, Impact Investing, Industrials, LOHAS & Wellness, Manufacturing, Mobility Tech, TMT","Austin, TX",24-Jan-2022,Secondary Transaction - Open Market,1.12,View company online
59592-70,BYD Company (SHE: 002594),SHE,002594,"Founded in 1995, BYD is a leading Chinese manufacturer in the design, development, and production of new energy vehicles, or NEVs. In March 2022, the firm discontinued production of internal combustion engine, or ICE, vehicles. Its products primarily target the growing midpriced mass-market segment in China's passenger vehicle market. The company sold more than 1.8 million passenger NEVs in 2022, accounting for about 28% of the Chinese passenger NEV market. Besides automobile production, the company is also engaged in handset components and assembly services, as well as the rechargeable battery and photovoltaics business. After more than 25 years of development, the company has established over 30 industrial parks worldwide.",TTM 3Q2023,"82,035.67","16,055.92","5,020.04","4,065.70","85,202.54",Consumer Products and Services (B2C),Publicly Held,Corporation,,"Shenzhen, China",29-Oct-2021,PIPE,"1,773.60",View company online
62483-23,Chemoil Energy,,,"Provider of energy transportation services based in Oklahoma City, Oklahoma. The company is engaged in storage, hauling and supply of gasoline, diesel, jet fuel and marine fuel, enabling companies to meet their energy consumption needs.",FY 2013,"12,958.91",289.94,82.39,100.99,,Energy,Acquired/Merged (Operating Subsidiary),Corporate Backed or Acquired,Oil & Gas,"Oklahoma City, OK",07-Feb-2012,Corporate,,View company online
11058-58,EnerSys (NYS: ENS),NYS,ENS,"EnerSys provides stored energy solutions for industrial applications. It also manufactures and distributes energy systems solutions and motive power batteries, specialty batteries, battery chargers, power equipment, battery accessories and outdoor equipment enclosure solutions to customers worldwide. Energy Systems which combine enclosures, power conversion, power distribution and energy storage are used in the telecommunication and broadband, utility industries, uninterruptible power supplies, and numerous applications requiring stored energy solutions. Its segments include Energy Systems, Motive Power, and Specialty.",TTM 2Q2024,"3,719.77",939.64,430.47,242.39,"4,569.05",Energy,Publicly Held,Formerly PE-Backed,"Industrials, Manufacturing","Reading, PA",08-Sep-2022,Debt Refinancing,300.00,View company online
51075-46,Solaredge Technologies (NAS: SEDG),NAS,SEDG,"SolarEdge Technologies designs, develops, and sells direct current optimized inverter systems for solar photovoltaic installations. The company system consists of power optimizers, inverters, and cloud-based monitoring platform and addresses a broad range of solar market segments, from residential solar installations to commercial and small utility-scale solar installations. The company sells its products directly to solar installers, engineering, procurement, and construction firms and indirectly to solar installers through distributors and electrical equipment wholesalers. Additionally, the company has nonsolar products targeting energy storage and e-mobility.",TTM 3Q2023,"3,551.19","1,021.30",328.62,217.54,"7,008.91",Energy,Publicly Held,Formerly VC-backed,"CleanTech, SaaS, TMT","Herzliya, Israel",21-Mar-2022,Public Investment 2nd Offering,678.50,View company online
10175-32,Altra Industrial Motion,,,"Altra Industrial Motion Corp is a United States-based company that designs, manufactures, and sells a wide range of electromechanical power transmission motion control. The company operates through two business segments based on product types and end markets served: the power transmission technologies segment and the automation and specialty segment. The company's product portfolio consists of products such as clutches, brakes, gears, and motion controllers and braking systems, which are used in heavy industrial applications, energy markets, medical, packaging, automation, robotic, and other industries. The company earns majority of its revenue in North America ( primarily the United States).",FY 2022,"1,945.50",692.90,335.00,127.00,"4,794.14",Consumer Products and Services (B2C),Acquired/Merged (Operating Subsidiary),Corporate Backed or Acquired,"Industrials, Manufacturing","Braintree, MA",27-Mar-2023,Merger/Acquisition,"5,134.60",View company online
170150-32,Bulb (Energy Production),,,"Provider of renewable energy services intended to make energy simpler and cheaper. The company specializes in offering renewable energy that comes from solar, wind, and hydraulic sources, enabling businesses with fair, transparent pricing, and technology to help them manage and reduce their energy use.",FY 2020,"1,932.43",224.88,,-80.04,,Energy,Acquired/Merged,Formerly VC-backed,"CleanTech, Climate Tech, LOHAS & Wellness","London, United Kingdom",20-Dec-2022,Merger/Acquisition,,View company online
42875-92,Scorpio Tankers (NYS: STNG),NYS,STNG,"Scorpio Tankers Inc is a provider of marine transportation of petroleum products. It owns, lease finances or bareboat charters-in 113 product tankers namely 39 LR2 tankers, 60 MR tankers and 14 Handymax tankers. The company's fleet of tankers is the largest, most eco-friendly and newest fleet on the water hauling clean petroleum products.",TTM 3Q2023,"1,498.67",933.34,"1,043.05",690.41,"4,394.15",Energy,Publicly Held,Corporation,Oil & Gas,"Monaco, Monaco",26-Sep-2019,PIPE,50.00,View company online
42170-68,Bloom Energy (NYS: BE),NYS,BE,"Bloom Energy designs, manufactures, sells, and installs solid-oxide fuel cell systems (""Energy Servers"") for on-site power generation. Bloom Energy Servers are fuel-flexible and can use natural gas, biogas, and hydrogen to create 24/7 electricity for stationary applications. In 2021, the company announced plans to leverage its technology and enter the electrolyzer market. Bloom primarily sells its systems in the United States and South Korea.",TTM 3Q2023,"1,439.13",176.78,-205.90,-353.80,"4,015.35",Business Products and Services (B2B),Publicly Held,Formerly VC-backed,"CleanTech, Climate Tech, Manufacturing, Oil & Gas, TMT","San Jose, CA",16-May-2023,Debt Refinancing,550.00,View company online
126861-67,Infortar (TAL: INF1T),TAL,INF1T,"Infortar AS is an investment holding company in the Baltics. The group focus is on four segment areas which are energy, shipping, real estate, and others. Energy segment consisting of natural gas and electricity trade and sale, natural gas distribution service, sale and bunkering of liquefied natural gas, sale of compressed gas, biomethane production, and solar electricity production, Real estate segment consisting of hotels, office buildings, logistics center, and other real estate object, and Other segment which predominantly includes construction, drug and pharmacy wholesale, building materials, printing, taxicab, and other activities.",TTM 3Q2023,"1,318.62",136.94,500.98,451.61,,Financial Services,Publicly Held,Corporation,,"Tallinn, Estonia",14-Dec-2023,IPO,33.93,View company online
